0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20800,25000,25000,25000,25500,25500,25500,26900,28700,28700,30600,33600,33600,33600,33600,33600,33600,33600,35400,35400,35400,35400,35400,35400,35400,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,36100,36100,39700,39700,39700,39700,39700,39700,39700,39700,43100,43100,43100,43100,43500,43500,43500,43500,43500,43500,43500,43500,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,47700,47700,47700,47700,47700,47700,47700,47700
21100,21100,21200,22600,27900,29300,29300,29300,30700,30700,30700,30700,30700,30700,30700,30700,31000,31000,31000,31000,31000,31100,31100,31100,31100,31200,31200,32900,32900,32900,32900,34400,34400,35300,35300,35300,35300,35300,35300,35300,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,37400,37400,37400,37400,37400,37400,37400,37400,38600,39800,39800,39800,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900
20800,20800,22000,22000,26400,26400,26400,26400,26400,28900,28900,28900,29000,29000,30300,30300,30300,32000,32000,32000,32000,32000,32000,32000,32600,32600,32600,32600,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,35900,35900,35900,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36200,36200,36200,36200,36200,36300,36300,36300,36300,36300
22200,22200,23700,26800,26800,26800,26800,27500,29800,29800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
22100,22100,25200,25200,25200,25800,28400,31500,31500,31500,31500,31500,31500,31500,31500,31500,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33600,33600,33600,33600,34300,34300,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,36600,36600,36600,36600,36600,36600,37100,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,42100,42100,42100,42100,42100,42100
22100,22200,22900,24200,26800,26800,26800,26800,28600,29800,29800,29800,30700,30700,30700,30700,30700,30700,30700,30700,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33500,33500,33500,33500,33500,33500,36000,36000,36000,36000,36000,36000,36000,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,40000,40000,40000,40000,40000,40000,40000,40000,40000,40600,40600
21200,21800,21800,22900,24400,26500,26500,29200,29200,29200,29200,29200,29200,29200,29200,29200,29600,29600,29600,29600,33600,33600,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34600,34600,34600,34900,36600,36700,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
21000,21500,21500,21600,21600,22600,22600,27200,27200,27200,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30700,30700,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32600,32600,33100,34400,34400,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800
24100,24100,24100,24800,26100,26100,27500,27500,27500,27500,27500,31000,31000,31000,31000,31000,31000,31000,31000,31000,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34700,34700,34700,34700,34700,35800,35800,36100,36100,36100,36100,36100,36100,36100,36100,36100,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37200,37200,37200
21300,24400,24400,24400,24500,24500,24500,27700,27700,27700,28200,28200,28200,30400,30400,30400,30400,30400,33100,33100,33100,33100,33100,33100,33100,33100,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36800,36800,37400,37400,37400,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38800,39900,39900,39900,39900,40000,40000,40000,40000,40000,40000,40000,40000,42000,42000,42000,42000,42000,42200,44100,44100,44100,44100,44700,44700
25500,25500,25500,33400,33400,33400,33400,33400,33400,33400,35100,35100,35100,35100,35100,35100,35200,35400,36900,36900,37000,37000,37000,37000,37000,37000,37000,37000,37000,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,41200,41200,41200,41200,41200,41200,41200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,48300,48300,48300,48300,48300,48400,48400,48400,48400,48400,48400,48400,48400,48400,48500,48500,48500,48500,48500,48500,48500,48500,48500,48500,48500,48500
22800,25100,25100,25500,25500,25500,25500,25500,25500,27800,28900,28900,28900,28900,28900,28900,29400,29400,29400,29400,30100,30100,30800,30800,30800,30800,30800,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31900,31900,31900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,34000,34000,34000,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35700,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,39000,39000,39000,39000,39000,39000,39000,39000
