0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
24200,26300,26300,26300,28100,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500
25500,25500,25500,25500,25500,25500,25500,25500,29600,29600,29600,30900,30900,32900,32900,32900,33900,33900,33900,33900,33900,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,35100,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100
20900,23200,23200,25900,27600,27600,27600,27600,27600,27600,27600,28800,28800,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,35000,35000,35000,35000,35000,35000,35000,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900
20000,21900,21900,25400,25400,25400,26600,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,29300,31200,31200,31200,31200,31200,31200,31200,31200,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,32500,34900,34900,34900,34900,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500
23600,23600,27200,27200,27200,27200,27200,27200,27200,29900,29900,31800,31800,31800,31800,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34400,34400,34400,34400,34400,34400,34400,34400,34400,34700,34700,35300,35300,35300,35300,35300
22900,22900,24600,27900,27900,27900,29100,29400,30200,30200,30200,30200,31400,31400,31400,31400,31400,32000,32000,32000,33800,34500,34600,34600,34600,34600,34700,34700,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,37100,37100,37100,37100,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41700,41700,41700,41700,41700
23600,23600,23600,23600,24400,24400,28900,30100,30100,30100,30100,30100,30100,30100,30400,30400,30500,31300,31300,31300,31300,32100,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,34800,34800,34800,35700,35700,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,39500,39500,39500,39500,39500,39500,39500,39500,39500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
18700,20400,20400,22700,26700,26700,26700,27500,27500,27500,27500,27500,27500,29900,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,35300,35300,35300,35300,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40500,42700,42700,42700
22200,22200,22200,22200,22200,22900,25500,25500,25500,25500,25500,25500,26100,27000,27000,28500,28500,28500,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,33200,33200,33200,33600,33600,33600,33600,33600,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,37900,37900,37900,37900,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,39100,39100,39100,39100,39100,39100,39100,39200,39200,39200,39200
27000,27000,27000,29500,29500,29500,29800,29800,29800,29800,29800,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32600,32600,32600,32600,32600,32600,32600,33100,33100,33100,33100,33100,33100,33400,33500,33500,33500,33500,33500,33500,33500,33500,33500,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900
