0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21200,21200,22000,22000,22000,22000,22000,22300,22300,22700,22700,23300,26700,29700,29700,29700,29700,29700,29700,29700,29700,29700,33900,33900,33900,33900,33900,33900,33900,35000,35000,35000,35000,35000,35000,35000,35700,35700,35800,35800,36000,36000,36100,37100,37100,37100,37100,37100,37700,37700,37700,37700,37700,37700,37800,37800,37800,40300,40300,40300,40400,40400,40400,40400,41300,41300,41300,41300,41300,41300,41300,41400,41400,43000,43500,43500,43500,43500,43500,43500,46200,46200,46200,46200,46200,46200,46200,46900,47900,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
20900,20900,20900,20900,22500,22800,24900,24900,25400,25400,25400,25400,25400,25400,26400,26400,26400,26400,26400,26400,26400,26400,26400,26400,26400,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,27100,28800,28800,28800,28800,28800,30600,30600,30800,30900,30900,30900,31000,31500,32800,33300,33300,33300,33300,33600,35500,35500,35500,35800,35800,35800,36000,36400,36400,36500,36500,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,40200,40200,40200,40200,40200,40200,40200,40300,40300,40300,40300,40300,40400,40500,40500,40500
23400,23400,23600,23600,23600,25600,25600,25800,25800,25800,25800,25800,25800,25800,25800,25800,26300,26300,26300,26300,28500,28500,28500,29400,29400,29400,29400,29900,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,32700,32800,32800,32800,32800,32800,32800,32800,32800,32800,34000,34000,34000,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,36800,36800,36800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800
24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,25200,25200,29200,29200,29200,29200,29200,29200,30500,30700,30700,30700,30700,30700,30700,31700,33500,33500,35200,35200,35200,35500,35500,35500,36700,36700,36900,36900,36900,37200,37200,37500,39600,39600,39600,39600,39600,40600,40600,40600,40800,40800,40800,40800,40800,40800,40800,41000,41000,41000,41000,41000,41000,41000,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300
21300,21300,21300,23100,23100,23100,23100,25100,25100,25300,27100,27100,27100,27100,27100,28500,29000,29000,29000,29000,32000,32000,34400,34400,34400,34400,34400,34400,34400,34500,34500,34500,36300,36300,36300,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,37000,37400,37400,37400,38100,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,40200,40200,41400,41400,41400,41600,41600,41600,41600,42100,42100,42100,42200,42200,42200,42200,42200,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,43100,43100,43100,43100,43100,43100,43100,43100,43100
21900,21900,21900,21900,23500,23500,23500,24300,24300,25300,25300,25300,25300,25300,25300,25900,26900,26900,26900,26900,27100,29800,29800,29800,29800,29800,30800,31000,31000,31000,32400,32400,32400,32500,33800,33800,33800,34000,34100,34300,36100,36100,36100,36100,36100,36900,36900,37000,38800,39600,39600,40500,40500,40900,40900,40900,40900,40900,40900,40900,41000,41400,41800,41800,41800,41800,41800,42800,42800,42800,42800,42800,42800,42800,42800,45400,45400,45400,45400,45400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,47700,47700,47700,47700,47700,47700,47700
19000,21300,21700,21700,21700,21700,21700,24400,24400,24400,24400,24400,24800,24800,26500,26500,27400,27400,29000,29000,29000,29000,29600,31600,31600,31600,31600,31600,31600,31700,31700,31700,33100,33100,33100,33800,33800,33800,34200,34200,34200,34200,34200,34200,34200,35800,35800,35800,35900,35900,35900,35900,35900,35900,37200,37200,37200,37200,37200,37200,37200,37200,37200,38800,38800,38800,38800,38800,38800,38800,39300,39300,39300,39300,39300,39300,39300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40900,40900,41300,41300,41300,41400,41400,41400,41400,42300,42300,42300,42300
19400,21600,24400,24400,24400,26600,26600,26600,27200,27500,27700,28000,28000,28000,28000,28000,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37100,37100,37300,37300,37300,37300,37300,37300,37300,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,39200,39200,39200,39200,39200,39200,39300,39300,39300,39300,39300,39300,39300,39300,39300,39300
22900,23500,23500,23500,24300,24300,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,29200,29200,29200,29200,29200,29200,29200,29200,31900,31900,31900,31900,31900,31900,31900,31900,31900,31900,34100,34100,34100,34100,34100,34100,34100,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35900,35900,37200,37200,37200,37200,37200,38100,38100,38100,38100,38100,38100,38100,38100,38100,38200,39500,39500,39500,39500,40400,40400,40400,40400,40500,40500,40500,40500,40500,40500,40500,41500,41500,41500,41500,41500,42200,42200,42200
24400,24500,24500,24500,24500,24500,26000,26000,26100,28000,28000,28200,28200,28200,28200,29600,29600,29600,29600,30200,30300,30300,30300,30300,30300,30300,30300,30500,30500,30500,30500,30500,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30800,30800,30800,30800,31500,31500,31500,31500,32200,32200,32500,32500,32500,32600,34000,34200,34300,34400,36200,36200,36300,36300,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300
