0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
24300,24300,24500,24900,24900,26100,26100,26100,26800,26800,26800,26800,26800,27700,27700,27700,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,30600,30600,30600,32400,32400,32400,32400,32400,34200,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800
25800,26100,26100,27100,27100,27100,27100,29800,29800,29800,29800,29800,29800,29800,29900,29900,29900,33200,33200,33200,34500,35100,35100,37000,38400,38900,38900,42100,42100,42100,42100,42100,42300,42300,42300,42800,42800,42900,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43900,43900,43900,43900,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400
24500,24500,24500,25900,25900,25900,28100,28100,28100,28100,28100,28100,28100,28100,28100,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,36000,36000,36000,36400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500
25500,25800,26200,26200,26200,26200,26200,26300,26300,28100,31000,32400,32400,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34200,34200,34200,34200,34200,35100,35100,35100,35100,35400,36200,36200,36200,36200,36200,37300,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,39300,39300,39300,39300,39300,39500,39500,39500,39500,39500,39500,39500,40700,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800
22300,25800,25800,25800,25900,25900,25900,26200,26200,26200,26200,26200,26200,26200,26200,26200,26200,26200,26400,26400,33900,33900,33900,33900,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,35900,35900,35900,35900,35900,35900,35900,35900,36000,36000,36000,36000,36000,36000,36300
25000,25000,25000,25000,29300,29300,29300,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,31100,31100,32000,32000,32000,32000,33500,33500,33500,34600,34600,34600,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,37500,37500,37500,37500,37500,37500,37500,37500,37500,38300,38300,38300,38300,38300,38300,38300,39800,39800,39800,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
23000,23000,25100,25100,25100,25100,25100,30600,30600,30600,30600,30600,30600,30600,30600,30600,32100,32100,32100,32500,32500,32500,33800,33800,33800,33800,34500,34500,34500,34500,34500,34500,34500,34500,34600,34600,34600,34800,35100,36300,36300,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,38100,38100,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,40000,40000,40000,40000,40000,40100,40100,40100,40100,40100,40100,40100
22900,23800,23800,23800,25100,25900,25900,25900,25900,26000,26000,26000,26000,26400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,33100,33100,33100,33100,33100,34700,34700,34700,34700,36100,36100,36100,36100,36100,36100,36100,36100,36100,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500
18400,27100,27100,27100,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,32300,32300,32300,33500,33500,33500,33500,33500,33500,33500,34700,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35500,35500,36200,38000,38000,38000,38000,38000,38000,38000,38300,38300,38700,38700,38800,38800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,42300,42300,42300,42300,42300,42300,42300,42300,42300,43200,43200,43200,43200,43200,43200,43200,43200,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300
20100,21600,25000,25000,28700,28700,28700,28700,28700,28700,28700,28700,28700,28700,28700,29100,29100,29100,29800,29800,29800,29800,29800,29800,29800,29800,31200,31200,31700,31700,31700,31700,32800,32800,32800,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36700,36700,39500,39500,40200,40200,40200,42000,42000,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200
